"obs","cor","path","rel","rep","est_std","se_std","se_usd"
100,0,"typeO",0.7,1,0.038,0.098,0.15
100,0,"typeO",0.7,2,-0.033,0.132,0.124
100,0,"typeO",0.7,3,-0.051,0.102,0.062
100,0,"typeO",0.8,1,-0.266,0.082,0.109
100,0,"typeO",0.8,2,-0.198,0.108,0.076
100,0,"typeO",0.8,3,-0.1,0.113,0.156
100,0,"typeO",0.9,1,-0.064,0.104,0.081
100,0,"typeO",0.9,2,-0.041,0.106,0.089
100,0,"typeO",0.9,3,0.042,0.097,0.105
100,0,"power",0.7,1,0.458,0.115,0.183
100,0,"power",0.7,2,0.397,0.107,0.145
100,0,"power",0.7,3,0.188,0.104,0.111
100,0,"power",0.8,1,0.131,0.148,0.146
100,0,"power",0.8,2,0.303,0.121,0.124
100,0,"power",0.8,3,0.319,0.141,0.125
100,0,"power",0.9,1,0.312,0.113,0.117
100,0,"power",0.9,2,0.336,0.121,0.168
100,0,"power",0.9,3,0.36,0.083,0.114
100,0.3,"typeO",0.7,1,0.131,0.329,0.39
100,0.3,"typeO",0.7,2,0.02,0.131,0.109
100,0.3,"typeO",0.7,3,0.04,0.128,0.09
100,0.3,"typeO",0.8,1,0.161,0.198,0.364
100,0.3,"typeO",0.8,2,0.147,0.1,0.077
100,0.3,"typeO",0.8,3,0,0.097,0.07
100,0.3,"typeO",0.9,1,0.019,0.094,0.093
100,0.3,"typeO",0.9,2,0.148,0.089,0.092
100,0.3,"typeO",0.9,3,-0.114,0.091,0.11
100,0.3,"power",0.7,1,0.306,0.134,0.154
100,0.3,"power",0.7,2,0.417,0.114,0.193
100,0.3,"power",0.7,3,0.327,0.141,0.232
100,0.3,"power",0.8,1,0.33,0.098,0.077
100,0.3,"power",0.8,2,0.338,0.098,0.084
100,0.3,"power",0.8,3,0.303,0.119,0.125
100,0.3,"power",0.9,1,0.361,0.082,0.088
100,0.3,"power",0.9,2,0.328,0.079,0.083
100,0.3,"power",0.9,3,0.311,0.075,0.071
100,0.6,"typeO",0.7,1,-0.1,0.101,0.105
100,0.6,"typeO",0.7,2,-0.075,0.142,0.152
100,0.6,"typeO",0.7,3,-0.088,0.125,0.129
100,0.6,"typeO",0.8,1,0.082,0.075,0.081
100,0.6,"typeO",0.8,2,0.057,0.08,0.082
100,0.6,"typeO",0.8,3,0.148,0.088,0.123
100,0.6,"typeO",0.9,1,0.069,0.048,0.046
100,0.6,"typeO",0.9,2,0.023,0.076,0.07
100,0.6,"typeO",0.9,3,0.015,0.064,0.053
100,0.6,"power",0.7,1,0.143,0.072,0.072
100,0.6,"power",0.7,2,0.305,0.085,0.088
100,0.6,"power",0.7,3,0.305,0.085,0.19
100,0.6,"power",0.8,1,0.201,0.099,0.083
100,0.6,"power",0.8,2,0.332,0.087,0.137
100,0.6,"power",0.8,3,0.347,0.058,0.112
100,0.6,"power",0.9,1,0.253,0.058,0.073
100,0.6,"power",0.9,2,0.382,0.072,0.067
100,0.6,"power",0.9,3,0.288,0.133,0.173
250,0,"typeO",0.7,1,-0.094,0.079,0.08
250,0,"typeO",0.7,2,0.005,0.078,0.101
250,0,"typeO",0.7,3,0.108,0.084,0.109
250,0,"typeO",0.8,1,-0.064,0.097,0.091
250,0,"typeO",0.8,2,-0.03,0.081,0.09
250,0,"typeO",0.8,3,-0.064,0.051,0.061
250,0,"typeO",0.9,1,-0.029,0.065,0.058
250,0,"typeO",0.9,2,-0.012,0.079,0.078
250,0,"typeO",0.9,3,0.001,0.069,0.063
250,0,"power",0.7,1,0.298,0.096,0.111
250,0,"power",0.7,2,0.24,0.073,0.047
250,0,"power",0.7,3,0.372,0.082,0.081
250,0,"power",0.8,1,0.338,0.061,0.078
250,0,"power",0.8,2,0.168,0.07,0.061
250,0,"power",0.8,3,0.432,0.048,0.066
250,0,"power",0.9,1,0.346,0.062,0.079
250,0,"power",0.9,2,0.415,0.047,0.062
250,0,"power",0.9,3,0.33,0.065,0.07
250,0.3,"typeO",0.7,1,0.248,0.075,0.078
250,0.3,"typeO",0.7,2,-0.018,0.053,0.046
250,0.3,"typeO",0.7,3,0.136,0.073,0.067
250,0.3,"typeO",0.8,1,-0.086,0.063,0.07
250,0.3,"typeO",0.8,2,0.015,0.054,0.058
250,0.3,"typeO",0.8,3,0.021,0.069,0.079
250,0.3,"typeO",0.9,1,-0.018,0.06,0.055
250,0.3,"typeO",0.9,2,-0.182,0.048,0.05
250,0.3,"typeO",0.9,3,-0.063,0.053,0.047
250,0.3,"power",0.7,1,0.214,0.067,0.072
250,0.3,"power",0.7,2,0.278,0.079,0.111
250,0.3,"power",0.7,3,0.358,0.065,0.081
250,0.3,"power",0.8,1,0.252,0.055,0.059
250,0.3,"power",0.8,2,0.335,0.062,0.071
250,0.3,"power",0.8,3,0.304,0.064,0.068
250,0.3,"power",0.9,1,0.374,0.052,0.056
250,0.3,"power",0.9,2,0.288,0.054,0.065
250,0.3,"power",0.9,3,0.227,0.046,0.044
250,0.6,"typeO",0.7,1,0.016,0.057,0.048
250,0.6,"typeO",0.7,2,-0.025,0.073,0.065
250,0.6,"typeO",0.7,3,-0.001,0.063,0.084
250,0.6,"typeO",0.8,1,0.01,0.064,0.067
250,0.6,"typeO",0.8,2,-0.034,0.07,0.053
250,0.6,"typeO",0.8,3,0.033,0.043,0.04
250,0.6,"typeO",0.9,1,-0.005,0.04,0.036
250,0.6,"typeO",0.9,2,-0.008,0.05,0.051
250,0.6,"typeO",0.9,3,-0.068,0.07,0.071
250,0.6,"power",0.7,1,0.269,0.065,0.082
250,0.6,"power",0.7,2,0.306,0.065,0.116
250,0.6,"power",0.7,3,0.347,0.052,0.068
250,0.6,"power",0.8,1,0.314,0.031,0.032
250,0.6,"power",0.8,2,0.203,0.052,0.067
250,0.6,"power",0.8,3,0.322,0.047,0.054
250,0.6,"power",0.9,1,0.316,0.046,0.062
250,0.6,"power",0.9,2,0.267,0.049,0.057
250,0.6,"power",0.9,3,0.354,0.041,0.041
500,0,"typeO",0.7,1,-0.053,0.056,0.061
500,0,"typeO",0.7,2,0.034,0.049,0.054
500,0,"typeO",0.7,3,0.035,0.061,0.058
500,0,"typeO",0.8,1,0.037,0.052,0.058
500,0,"typeO",0.8,2,0.008,0.054,0.053
500,0,"typeO",0.8,3,0.058,0.069,0.073
500,0,"typeO",0.9,1,-0.022,0.043,0.041
500,0,"typeO",0.9,2,-0.026,0.057,0.056
500,0,"typeO",0.9,3,-0.021,0.041,0.044
500,0,"power",0.7,1,0.247,0.054,0.05
500,0,"power",0.7,2,0.317,0.053,0.053
500,0,"power",0.7,3,0.22,0.057,0.076
500,0,"power",0.8,1,0.293,0.053,0.06
500,0,"power",0.8,2,0.268,0.051,0.054
500,0,"power",0.8,3,0.256,0.047,0.054
500,0,"power",0.9,1,0.207,0.041,0.042
500,0,"power",0.9,2,0.268,0.042,0.046
500,0,"power",0.9,3,0.307,0.054,0.055
500,0.3,"typeO",0.7,1,0.003,0.048,0.046
500,0.3,"typeO",0.7,2,0.017,0.053,0.048
500,0.3,"typeO",0.7,3,0.041,0.056,0.057
500,0.3,"typeO",0.8,1,-0.017,0.054,0.059
500,0.3,"typeO",0.8,2,0.028,0.045,0.042
500,0.3,"typeO",0.8,3,0.04,0.053,0.058
500,0.3,"typeO",0.9,1,0.013,0.038,0.034
500,0.3,"typeO",0.9,2,0.068,0.038,0.038
500,0.3,"typeO",0.9,3,0.005,0.042,0.039
500,0.3,"power",0.7,1,0.271,0.044,0.055
500,0.3,"power",0.7,2,0.27,0.036,0.04
500,0.3,"power",0.7,3,0.323,0.052,0.055
500,0.3,"power",0.8,1,0.327,0.044,0.05
500,0.3,"power",0.8,2,0.274,0.043,0.052
500,0.3,"power",0.8,3,0.265,0.041,0.044
500,0.3,"power",0.9,1,0.335,0.04,0.04
500,0.3,"power",0.9,2,0.352,0.04,0.048
500,0.3,"power",0.9,3,0.277,0.041,0.043
500,0.6,"typeO",0.7,1,0.006,0.049,0.048
500,0.6,"typeO",0.7,2,-0.017,0.037,0.039
500,0.6,"typeO",0.7,3,0.007,0.036,0.034
500,0.6,"typeO",0.8,1,0,0.025,0.024
500,0.6,"typeO",0.8,2,0.006,0.034,0.033
500,0.6,"typeO",0.8,3,0.072,0.039,0.038
500,0.6,"typeO",0.9,1,-0.039,0.028,0.026
500,0.6,"typeO",0.9,2,-0.044,0.037,0.033
500,0.6,"typeO",0.9,3,-0.043,0.027,0.028
500,0.6,"power",0.7,1,0.316,0.034,0.05
500,0.6,"power",0.7,2,0.327,0.043,0.069
500,0.6,"power",0.7,3,0.302,0.039,0.056
500,0.6,"power",0.8,1,0.286,0.039,0.048
500,0.6,"power",0.8,2,0.351,0.035,0.048
500,0.6,"power",0.8,3,0.275,0.036,0.049
500,0.6,"power",0.9,1,0.272,0.033,0.038
500,0.6,"power",0.9,2,0.343,0.034,0.039
500,0.6,"power",0.9,3,0.301,0.028,0.029
